Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Cost per item,Status
007-agent-under-fire-xbx-pch146730,007 Agent Under Fire (XBX),,ACTIVISION,,XBX,"XBX, Used, ACTION, ACTIVISION, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH146730,0,shopify,1,deny,manual,6.99,,TRUE,TRUE,,,,,FALSE,,,1.25,active
007-agent-under-fire-ps2-pch61937,007 Agent Under Fire (PS2),,ACTIVISION,,PS2,"PS2, Used, ACTION, ACTIVISION, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH61937,0,shopify,1,deny,manual,6.99,,TRUE,TRUE,,,,,FALSE,,,0.50,active
007-agent-under-fire-ps2-pch62927,007 Agent Under Fire (PS2),,ACTIVISION,,PS2,"PS2, Used, ACTION, ACTIVISION, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH62927,0,shopify,1,deny,manual,6.99,,TRUE,TRUE,,,,,FALSE,,,0.55,active
007-agent-under-fire-ngc-pch120941,007 Agent Under Fire (NGC),,ELECTRONIC ARTS,,NGC,"NGC, Used, ACTION, ELECTRONIC ARTS, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH120941,0,shopify,1,deny,manual,14.99,,TRUE,TRUE,,,,,FALSE,,,2.00,active
007-agent-under-fire-ngc-pch135035,007 Agent Under Fire (NGC),,ELECTRONIC ARTS,,NGC,"NGC, Used, ACTION, ELECTRONIC ARTS, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH135035,0,shopify,1,deny,manual,14.99,,TRUE,TRUE,,,,,FALSE,,,3.30,active
007-agent-under-fire-ngc-pch90034,007 Agent Under Fire (NGC),,ELECTRONIC ARTS,,NGC,"NGC, Used, ACTION, ELECTRONIC ARTS, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH90034,0,shopify,1,deny,manual,14.99,,TRUE,TRUE,,,,,FALSE,,,1.00,active
007-everything-or-nothing-gba-pch6787,007 Everything Or Nothing (GBA),,ACTIVISION,,GBA,"GBA, Used, ACTION, ACTIVISION, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH6787,0,shopify,1,deny,manual,9.99,,TRUE,TRUE,,,,,FALSE,,,0.00,active
007-everything-or-nothing-xbx-pch50908,007 Everything Or Nothing (XBX),,ACTIVISION,,XBX,"XBX, Used, ACTION, ACTIVISION, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH50908,0,shopify,1,deny,manual,11.99,,TRUE,TRUE,,,,,FALSE,,,0.22,active
007-from-russia-with-love-xbx-pch119165,007 From Russia With Love (XBX),,ELECTRONIC ARTS,,XBX,"XBX, Used, ACTION, ELECTRONIC ARTS, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH119165,0,shopify,1,deny,manual,9.99,,TRUE,TRUE,,,,,FALSE,,,1.00,active
007-from-russia-with-love-xbx-pch119166,007 From Russia With Love (XBX),,ELECTRONIC ARTS,,XBX,"XBX, Used, ACTION, ELECTRONIC ARTS, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH119166,0,shopify,1,deny,manual,9.99,,TRUE,TRUE,,,,,FALSE,,,1.00,active
